0,1,2,3,4,5,6
2021-08-02 14:07:10+00:00,1422197286747049988,"For a long time I focused on a long-term goal: make $10k a month.

But because I struggled to achieve it, I lost motivation.

So I made a smaller one: make $1K a month.

This got me excited to work again, and I reached it!  😃🚀",66,1,10,0
2021-08-01 22:02:15+00:00,1421954456896348169,There is hope! https://t.co/gOLuKL0hvi,9,1,0,0
2021-08-01 16:52:13+00:00,1421876435145404417,https://t.co/E7TGKYCy8z,30,1,2,1
2021-08-01 14:02:05+00:00,1421833619006496768,"I feel like making $1000 a month with my startup is tiny.

But 6 months ago, it was only $300, so I feel grateful for it 🙏

Here's what I did to get there:
1- focus my priorities on what paid customers liked
2- start doing more marketing, not just product

Nothing crazy 🤷‍♂️",484,18,34,3
2021-07-31 16:58:04+00:00,1421515518146646016,"We spent lots of time adding features to our product, even after launch.

It had big problems in the flow, so fixing it improved sales.

But once we solved the big issues, adding more features didn't do much.

So I switched from dev to marketing. Now we're growing way more 🔥🚀",43,2,5,1
2021-07-31 13:51:06+00:00,1421468466758946825,https://t.co/EHC0IitpOG,71,8,0,3
2021-07-30 14:06:05+00:00,1421109849920884738,"How it used to be:
- build a startup
- struggle for 10 years but eventually make it
- write a $10 book full of deep thoughts to help other founders

How it is now:
- make an MVP in a weekend
- launch on product hunt
- release a $200 course on how to be the next Steve Jobs

😬",44,4,6,1
2021-07-30 08:45:11+00:00,1421029093496303617,Startups – it takes longer than expected.,587,95,33,8
2021-07-29 20:16:15+00:00,1420840616938942466,This looks very interesting and beautifully executed. Looking forward to onboard next week https://t.co/tYjRdgUarq,6,0,2,0
2021-07-29 17:09:12+00:00,1420793542755164162,"We got used to stories about founders making millions with their startup in 1 year or less.

As a result, if our project doesn't work right away, we think we should pursue something else.

In reality, most business success is built with consistent work over many years.",89,9,13,5
2021-07-29 13:49:15+00:00,1420743223559950337,https://t.co/zKKrAfipHo,15,2,1,0
2021-07-28 17:03:07+00:00,1420429624409042949,https://t.co/Vw3gvVafKO,24,0,5,0
2021-07-28 15:40:02+00:00,1420408715757375489,"I lost interest in threads cause most are just rehashed platitudes. 

But this one is really insightful. https://t.co/A2aq4mwXnQ",7,0,1,0
2021-07-28 13:52:04+00:00,1420381547476180993,"You still haven't launched, and you say it's because your product isn't finished.

But even if you haven't built everything you wanted, it doesn't mean it's not ready.

Maybe it's ready to hit the market, just with a smaller scope than you imagined.

Go for it.",20,0,5,0
2021-07-27 16:57:06+00:00,1420065724102582272,https://t.co/c9WE2CyM4J,9,0,0,0
2021-07-27 13:58:06+00:00,1420020676929466375,"Just published a post on indiehackers: I’m a developer who resisted doing marketing for years. Here’s what made me change.

https://t.co/w4LmKrIVko",20,1,0,1
2021-07-27 07:33:22+00:00,1419923855615926279,"As the first paying user I can say it’s the most affordable way to track you seo metrics. Perfect if you’re starting out and can’t afford ahref.

Also comes with specific functions for indies like a list of places to get backlinks from. https://t.co/ZjDjFfHn4p",9,0,2,0
2021-07-26 16:57:06+00:00,1419703334194270213,https://t.co/7DHr7XRrBj,9,0,0,0
2021-07-26 16:34:02+00:00,1419697531571875848,Great work by Mauro here. He went in depth on how to help design a good looking app. https://t.co/fkWLQB0Fri,2,0,1,0
